Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
0.2,0.0023026343,0.0005344395,0.7629394531,0.0056193538,-180,0.0022184763,-180
0.4,0.0023043208,0.0005355873,1.525878906,0.0052959047,-155.5321056,0.0021108485,-151.6125072
0.6,0.0023031385,0.0005354348,2.288818359,0.0043945149,-132.6961639,0.0018044368,-124.1486197
0.8,0.0022999133,0.0005341045,3.051757812,0.0031279709,-115.0117395,0.0013484123,-99.42364132
1,0.0022970984,0.000532706,3.814697266,0.0019384435,-113.4564692,0.0008325274,-83.33208517
1.2,0.002295382,0.0005325139,4.577636719,0.001739738,-136.3824643,0.0004807665,-98.64357171
1.4,0.0022945696,0.000532468,5.340576172,0.0025061322,-138.0950684,0.0006668892,-123.3977963
1.6,0.0022933117,0.0005317085,6.103515625,0.0032276477,-120.3773116,0.0010232519,-111.7605166
1.8,0.0022922286,0.0005304515,6.866455078,0.0035558751,-95.85595783,0.0012764655,-89.19997797
2,0.0022926018,0.0005294894,7.629394531,0.003450914,-68.57588581,0.0013686563,-64.04852509
2.2,0.0022943801,0.0005292309,8.392333984,0.0029930313,-40.29468789,0.0012993029,-39.20503659
2.4,0.0022961621,0.000529459,9.155273437,0.0023187566,-12.76568936,0.0011034857,-17.07615886
2.6,0.0022974249,0.0005299406,9.918212891,0.0015880993,10.20314625,0.0008528197,-1.560161682
2.8,0.0022974458,0.000530104,10.68115234,0.0010155053,18.22074199,0.0006683907,1.916511668
3,0.0022959418,0.0005302864,11.4440918,0.0009578407,7.939182953,0.0006722103,-0.6562536003
3.2,0.0022940028,0.0005298427,12.20703125,0.0013653019,15.8012235,0.000803087,7.659595535
3.4,0.0022928303,0.000529521,12.9699707,0.0018412224,40.00435451,0.0009135674,26.72956443
3.6,0.0022930776,0.0005304539,13.73291016,0.0022133843,69.94103391,0.0009280024,51.68836836
3.8,0.0022936006,0.0005309785,14.49584961,0.0024085012,102.0069162,0.000830492,80.53926929
4,0.0022937294,0.000530703,15.25878906,0.0024002386,135.2213383,0.000644601,114.0164033
4.2,0.0022935854,0.0005303294,16.02172852,0.0022118879,169.6041244,0.0004310977,157.5322056
4.4,0.0022929442,0.0005300789,16.78466797,0.0019163992,-154.459476,0.0003114981,-137.6975964
4.6,0.0022922552,0.0005302728,17.54760742,0.0016166133,-117.0823479,0.0003754094,-75.48772893
4.8,0.0022917156,0.0005309879,18.31054687,0.0013997828,-80.5721361,0.0004855944,-38.69892684
5,0.0022915592,0.0005312933,19.07348633,0.0012964622,-50.00386022,0.0005577317,-17.04775562
5.2,0.0022918582,0.0005312215,19.83642578,0.0013180573,-29.32091826,0.0006116665,-5.621263087
5.4,0.0022924057,0.0005307073,20.59936523,0.0015182575,-16.12580963,0.0007091634,0.5196479246
5.6,0.0022923509,0.0005299269,21.36230469,0.0019201648,-3.575706153,0.0008768366,8.342526018
5.8,0.0022924658,0.0005295579,22.12524414,0.0024375951,11.57045878,0.0010740309,20.53160876
6,0.0022927632,0.0005297786,22.88818359,0.0029294166,28.55185762,0.0012367563,35.75377932
6.2,0.0022924401,0.0005300883,23.65112305,0.0032668313,45.79882811,0.0013140823,52.017356
6.4,0.0022916575,0.0005304276,24.4140625,0.0033682152,61.85822313,0.0012807624,67.48849973
6.6,0.0022911695,0.0005301738,25.17700195,0.0032198631,75.14953979,0.0011426204,79.9904883
6.8,0.0022905032,0.0005296693,25.93994141,0.0028950048,83.4695535,0.0009452619,85.92610365
7,0.0022893301,0.0005294081,26.70288086,0.002582611,84.07707724,0.0007977918,80.27782361
7.2,0.0022884745,0.0005296349,27.46582031,0.0025807911,77.5773641,0.0008568483,67.39924985
7.4,0.0022891328,0.0005299669,28.22875977,0.0030712703,72.52379515,0.0011342421,63.34143514
7.6,0.0022897638,0.0005298731,28.99169922,0.0039208624,74.88543114,0.0015050461,69.59631467
7.8,0.002289917,0.000529594,29.75463867,0.0048927751,83.34896473,0.0018743076,81.43385991
8,0.002290988,0.0005297092,30.51757812,0.0057918466,95.4755704,0.0021826825,96.09025812
8.2,0.0022915962,0.0005294383,31.28051758,0.0064623001,109.6510774,0.0023868531,112.1889214
8.4,0.0022915687,0.0005289098,32.04345703,0.0067844617,124.7938229,0.0024564466,128.8595068
8.6,0.0022908672,0.0005288551,32.80639648,0.0066926577,139.9645353,0.002379516,145.2992156
8.8,0.0022894914,0.0005291592,33.56933594,0.0062015806,154.0812578,0.0021704537,160.5043584
9,0.00228824,0.0005293871,34.33227539,0.0054295449,165.6890716,0.0018767476,173.0612771
9.2,0.0022878877,0.0005292209,35.09521484,0.0046065122,173.0352484,0.0015806361,-178.7242616
9.4,0.0022880988,0.000528994,35.8581543,0.0040237115,175.5772534,0.0013801923,-175.1878981
9.6,0.0022888665,0.0005295141,36.62109375,0.0038361783,176.8556406,0.0013208579,-172.5099324
9.8,0.0022900889,0.0005306743,37.3840332,0.0038695138,-177.9328388,0.0013367827,-165.5668514
10,0.002290811,0.0005313422,38.14697266,0.0037937801,-167.6102844,0.0013166818,-153.3279037
10.2,0.0022924088,0.0005314874,38.90991211,0.0033882291,-154.0085832,0.0011885763,-137.4677675
10.4,0.0022941024,0.0005311884,39.67285156,0.0026054267,-139.9548635,0.0009356983,-120.1765185
10.6,0.0022943026,0.0005306899,40.43579102,0.0015580235,-131.8729087,0.0005855126,-105.1590526
10.8,0.0022940088,0.0005301426,41.19873047,0.0007350783,-165.6994357,0.0002225146,-114.8908576
11,0.0022931923,0.0005300019,41.96166992,0.0013654862,150.762224,0.0003142581,169.4926266
11.2,0.002293633,0.0005308342,42.72460937,0.0023106651,158.8406892,0.0006443421,176.0603527
11.4,0.002295411,0.0005320996,43.48754883,0.0029819421,176.6698074,0.0008998059,-164.3347666
11.6,0.0022957078,0.0005326297,44.25048828,0.0032759436,-162.6759317,0.0010467144,-141.90528
11.8,0.0022946708,0.0005323315,45.01342773,0.0032010788,-140.8057929,0.0010851584,-118.5317681
12,0.0022935545,0.0005316126,45.77636719,0.0028351962,-118.2415146,0.0010339022,-94.97435303
12.2,0.0022929724,0.0005314202,46.53930664,0.0022969179,-95.11318257,0.0009222507,-71.82693003
12.4,0.0022927428,0.0005312454,47.30224609,0.0017158285,-71.31817737,0.0007823408,-49.83023332
12.6,0.0022917723,0.0005304783,48.06518555,0.0012055743,-46.65220929,0.0006433284,-30.04688428
12.8,0.0022905545,0.0005301816,48.828125,0.0008438917,-21.43228946,0.0005287754,-13.76959213
13,0.0022904916,0.0005303661,49.59106445,0.0006619439,2.007333606,0.0004558903,-1.599310717
13.2,0.0022917507,0.0005308848,50.35400391,0.0006502531,20.66232543,0.000431414,8.217932672
13.4,0.002293147,0.0005313998,51.11694336,0.0007756812,36.41688409,0.0004448345,19.14016479
13.6,0.0022927243,0.0005309726,51.87988281,0.0009817707,52.88260056,0.0004719396,33.02979942
13.8,0.00229191,0.0005301931,52.64282227,0.0011932602,71.02829777,0.0004859052,49.57727996
14,0.0022920481,0.0005297522,53.40576172,0.0013314722,90.68873686,0.000463214,67.76965442
14.2,0.0022926396,0.0005297931,54.16870117,0.0013281968,111.8777422,0.0003860205,86.48209622
14.4,0.0022936246,0.0005300971,54.93164062,0.0011395895,135.4110399,0.0002453815,103.4294167
14.6,0.0022944677,0.0005300998,55.69458008,0.0007657189,165.3078195,5.658177044E-05,85.7770633
14.8,0.0022959892,0.0005303994,56.45751953,0.0003564589,-128.005369,0.000217584,-12.99163516
15,0.0022983619,0.0005317279,57.22045898,0.0006668018,-30.35267533,0.0004832317,1.939771262
15.2,0.0023020065,0.0005336275,57.98339844,0.0013038505,5.142663885,0.0007296082,20.93454083
15.4,0.0023048435,0.0005346363,58.74633789,0.0018635407,28.82277634,0.0009158015,40.03595412
15.6,0.0023059094,0.0005345801,59.50927734,0.002224579,48.07424639,0.0010105629,57.91418334
15.8,0.0023060134,0.0005345817,60.2722168,0.0023376075,63.34708508,0.0010025058,73.15626186
16,0.0023060916,0.0005349202,61.03515625,0.0022428402,73.19939368,0.0009119407,83.53155899
16.2,0.0023082695,0.0005361217,61.7980957,0.0020956888,75.64548829,0.0008036501,85.98669435
16.4,0.0023094027,0.0005368624,62.56103516,0.0021229068,72.14441936,0.0007792034,80.75825034
16.6,0.0023090773,0.0005366139,63.32397461,0.0024099622,69.81155577,0.0008858218,76.5137175
16.8,0.0023075296,0.0005359345,64.08691406,0.0028038512,72.37763479,0.0010556349,78.76628342
17,0.0023046605,0.0005353916,64.84985352,0.0031234938,77.75034262,0.0012062331,85.12000574
17.2,0.0023018251,0.0005347751,65.61279297,0.0033096719,82.8153399,0.0013049639,92.17311876
17.4,0.0022997461,0.0005340624,66.37573242,0.0034484858,85.6135912,0.0013694825,97.86381745
17.6,0.0022984767,0.0005331355,67.13867187,0.0037098186,86.64022154,0.0014471289,101.9704136
17.8,0.0022971615,0.0005319421,67.90161133,0.0041900383,88.72395309,0.001574222,106.0877538
18,0.0022957598,0.0005310222,68.66455078,0.0048065492,93.94374017,0.0017413477,111.9923374
18.2,0.0022957325,0.0005310623,69.42749023,0.00537774,102.0190302,0.0019030392,120.0325483
18.4,0.0022974468,0.0005316272,70.19042969,0.0057512805,111.5101964,0.0020140478,129.3470472
18.6,0.0022996784,0.0005324341,70.95336914,0.005871366,120.8813317,0.00205536,138.7112244
18.8,0.0023003655,0.0005328838,71.71630859,0.0057944327,128.8826092,0.0020416951,147.0781282
19,0.0022995071,0.0005325119,72.47924805,0.0056633503,134.9113282,0.0020128298,153.99192
19.2,0.0022985429,0.0005323732,73.2421875,0.0056314208,139.5142349,0.0020099206,159.9400511
19.4,0.0022978816,0.0005324181,74.00512695,0.005760052,144.2649332,0.0020475624,166.1417749
19.6,0.0022979449,0.000532874,74.76806641,0.005981434,150.5640761,0.0021056672,173.6438252
19.8,0.0022985588,0.0005333763,75.53100586,0.0061665968,158.7625492,0.0021483577,-177.2876958
20,0.0022999563,0.0005336756,76.29394531,0.0062116247,168.4544699,0.0021472389,-166.9653812
20.2,0.002301299,0.0005342781,77.05688477,0.0060704298,179.0895381,0.0020905218,-155.8197212
20.4,0.0023018502,0.0005348256,77.81982422,0.005740923,-169.6978914,0.0019786916,-144.116328
20.6,0.002301392,0.0005351628,78.58276367,0.0052355201,-158.0391473,0.0018151804,-131.8986482
20.8,0.0023013507,0.0005354329,79.34570312,0.004561083,-145.9643321,0.0016000869,-119.1027687
21,0.002302002,0.0005358487,80.10864258,0.0037204774,-133.671547,0.001331089,-105.7840716
21.2,0.0023028727,0.0005362319,80.87158203,0.0027318441,-122.0453368,0.0010100114,-92.4681305
21.4,0.0023037169,0.0005360335,81.63452148,0.001656877,-114.6398864,0.0006506255,-81.21252596
21.6,0.0023040989,0.000535602,82.39746094,0.0007165378,-134.1252389,0.000294027,-83.82520484
21.8,0.0023040272,0.0005349815,83.16040039,0.0009403377,161.3009374,0.0002194524,-159.3640386
22,0.0023045988,0.000534314,83.92333984,0.0017674526,158.9885947,0.0005047275,-171.8927012
22.2,0.0023058174,0.0005338566,84.6862793,0.0024436204,171.1634801,0.0007639798,-159.9594576
22.4,0.0023067517,0.0005341509,85.44921875,0.0028684419,-173.2378025,0.0009493257,-143.7892761
22.6,0.002306041,0.0005345572,86.2121582,0.0030388329,-156.3924331,0.0010568969,-126.3109435
22.8,0.0023041608,0.0005343752,86.97509766,0.0029963356,-138.8655287,0.0010978235,-108.2866191
23,0.0023015804,0.0005331384,87.73803711,0.0028048874,-120.5773642,0.0010907903,-89.83507829
23.2,0.0022992129,0.0005312323,88.50097656,0.0025324385,-100.9901063,0.0010557332,-70.75147544
23.4,0.0022988688,0.0005308718,89.26391602,0.0022412827,-79.2450638,0.0010095286,-50.69968569
23.6,0.0022999715,0.000531694,90.02685547,0.001988607,-54.55319095,0.000964653,-29.45133092
23.8,0.0023021649,0.0005326295,90.78979492,0.0018262572,-27.07348604,0.0009297145,-7.125965408
24,0.0023033868,0.0005330421,91.55273437,0.0017836787,1.225226097,0.0009097949,15.71430285
24.2,0.0023023851,0.0005326979,92.31567383,0.001847497,27.43689341,0.0009061324,38.23907618
24.4,0.0023008143,0.0005320249,93.07861328,0.0019762402,49.86586633,0.0009163899,59.72824232
24.6,0.0023001893,0.0005318137,93.84155273,0.0021350145,68.61714939,0.0009356551,79.89117789
24.8,0.0023009683,0.0005323853,94.60449219,0.0023044077,84.83609822,0.000956566,98.91198582
25,0.0023020418,0.0005330877,95.36743164,0.0024621434,99.9290523,0.0009682497,117.2303737
25.2,0.0023026773,0.0005329237,96.13037109,0.0025660569,114.9638949,0.0009563501,135.225959
25.4,0.0023027939,0.0005324962,96.89331055,0.002558991,130.3389184,0.0009062194,152.9724447
25.6,0.002303426,0.0005327411,97.65625,0.002392204,145.7438382,0.0008086857,170.0789056
25.8,0.002304289,0.0005336938,98.41918945,0.0020520257,160.1064839,0.0006661288,-174.5585227
26,0.0023051208,0.0005344336,99.18212891,0.0015806521,171.0182914,0.0004974926,-163.4875271
26.2,0.0023064936,0.0005345452,99.94506836,0.0010967031,172.9118128,0.0003438318,-162.2580046
26.4,0.0023085492,0.0005348373,100.7080078,0.0008191777,158.412497,0.0002677196,-175.2320852
26.6,0.0023089564,0.0005350173,101.4709473,0.0008632932,142.9146196,0.00027746,174.2012554
26.8,0.0023075512,0.0005343757,102.2338867,0.0009561985,142.2971157,0.0002863618,176.1983531
27,0.0023059777,0.0005331652,102.9968262,0.0008751904,147.0468829,0.0002384207,-178.733138
27.2,0.0023054757,0.0005326793,103.7597656,0.000617098,141.0426433,0.0001462884,167.8636198
27.4,0.0023061601,0.0005330229,104.5227051,0.000572966,98.27716998,0.0001808594,114.4913611
27.6,0.0023070176,0.000533451,105.2856445,0.0011121882,80.67621399,0.0003735796,108.4003896
27.8,0.0023076781,0.0005340621,106.048584,0.0018072389,88.58599763,0.0005824785,120.461023
28,0.0023079079,0.0005343023,106.8115234,0.0024293217,102.8277781,0.0007560931,136.3826799
28.2,0.0023078915,0.0005343519,107.5744629,0.0028719913,118.4872475,0.0008697069,152.6968504
28.4,0.0023080882,0.0005346135,108.3374023,0.0030980912,133.6806183,0.0009195202,167.8315435
28.6,0.0023092702,0.0005353357,109.1003418,0.003136835,147.3676788,0.0009226787,-179.1485148
28.8,0.0023109655,0.0005361724,109.8632812,0.0030681961,159.1362876,0.0009104239,-168.3398768
29,0.0023128191,0.0005370501,110.6262207,0.0029804718,169.5566312,0.0009101091,-158.4549115
29.2,0.0023151497,0.0005380556,111.3891602,0.002911472,-179.7700288,0.0009243923,-147.2774792
29.4,0.002317318,0.0005387033,112.1520996,0.0028212844,-167.117161,0.0009294521,-133.1967785
29.6,0.0023184197,0.0005384058,112.9150391,0.0026278603,-151.5391629,0.0008939751,-115.777878
29.8,0.0023181306,0.0005369485,113.6779785,0.0022653039,-132.663795,0.0007972566,-95.01198217
30,0.0023165592,0.0005358582,114.440918,0.001719351,-109.5570687,0.0006368291,-70.20372051
30.2,0.0023145798,0.0005360371,115.2038574,0.001047308,-77.13346418,0.0004323474,-37.59651536
30.4,0.0023125398,0.0005364561,115.9667969,0.0005394616,-4.28578643,0.0002550844,19.58029425
30.6,0.0023115109,0.0005367422,116.7297363,0.0009485694,79.62272433,0.000304134,101.6103508
30.8,0.0023106384,0.0005365118,117.4926758,0.0016521157,116.6991709,0.0005174236,148.1645892
31,0.0023105311,0.0005364265,118.2556152,0.002266999,143.8790759,0.0007345836,179.3431558
31.2,0.0023109679,0.000536662,119.0185547,0.0027082423,168.3125238,0.0009109679,-154.0272085
31.4,0.0023113414,0.000536515,119.7814941,0.0029455831,-168.4008537,0.0010299751,-129.2704936
31.6,0.0023117472,0.0005366959,120.5444336,0.0029791566,-145.8476776,0.001085488,-105.6256086
31.8,0.0023116728,0.0005367136,121.307373,0.0028326364,-124.1069819,0.0010787529,-83.02249568
32,0.002311617,0.0005368092,122.0703125,0.0025491741,-103.6953411,0.001017867,-61.84506655
32.2,0.0023117248,0.0005365697,122.833252,0.0021904173,-85.7301829,0.0009186159,-42.95647695
32.4,0.0023120298,0.0005359825,123.5961914,0.0018411791,-72.04715175,0.0008066766,-27.71355987
32.6,0.0023123951,0.0005351276,124.3591309,0.0016145485,-64.10574766,0.0007192473,-17.31666048
32.8,0.002312757,0.0005345291,125.1220703,0.0016131339,-59.16798155,0.0006951989,-10.52303982
33,0.0023135153,0.0005346853,125.8850098,0.0018281303,-50.76195108,0.0007439953,-2.701148175
33.2,0.0023135685,0.0005352407,126.6479492,0.0021458489,-36.60999203,0.0008325967,9.410848395
33.4,0.0023119862,0.0005351417,127.4108887,0.0024492863,-18.5188045,0.0009148542,25.38841261
33.6,0.0023105457,0.0005346216,128.1738281,0.0026534493,1.322438269,0.0009553258,43.45809508
33.8,0.0023095887,0.0005343782,128.9367676,0.0027042731,21.23283572,0.000934709,61.85773231
34,0.0023097824,0.000534376,129.699707,0.0025822797,39.73930718,0.0008511967,78.78144938
34.2,0.0023098112,0.0005341239,130.4626465,0.0023136854,55.10259605,0.0007234224,91.8247572
34.4,0.0023089474,0.0005338592,131.2255859,0.0019853725,64.98134031,0.0005958681,97.65339684
34.6,0.0023079839,0.000533532,131.9885254,0.0017492814,67.61423974,0.0005355743,95.26058267
34.8,0.0023073091,0.0005334863,132.7514648,0.0017449873,66.4853056,0.0005753445,92.87277002
35,0.0023062141,0.0005330611,133.5144043,0.0019366161,69.10366116,0.0006629688,97.87460183
35.2,0.0023046869,0.0005325157,134.2773437,0.0021539987,77.39240834,0.0007310182,108.5619854
35.4,0.0023045196,0.0005322915,135.0402832,0.0022616122,88.96987571,0.0007450583,121.3741261
35.6,0.002306421,0.0005327099,135.8032227,0.0022064971,101.2403742,0.0007015239,133.5064735
35.8,0.0023110698,0.0005344313,136.5661621,0.0020070557,112.0043721,0.000620959,142.5064587
36,0.0023152821,0.0005361441,137.3291016,0.001736399,119.2269356,0.0005413721,146.4656384
36.2,0.002315909,0.0005370034,138.092041,0.0014966344,121.6588544,0.0005007896,146.353003
36.4,0.0023133119,0.0005365356,138.8549805,0.0013623933,120.890936,0.0005041042,147.1571364
36.6,0.0023104953,0.000535581,139.6179199,0.0013131729,121.0614657,0.0005174854,152.3046703
36.8,0.0023083145,0.0005349161,140.3808594,0.0012567936,124.0217057,0.0005040842,161.0061224
37,0.0023071663,0.0005348197,141.1437988,0.0011203835,127.723257,0.0004454689,170.8025546
37.2,0.0023068908,0.0005353031,141.9067383,0.0009015792,126.9376939,0.000342398,178.0775519
37.4,0.002308403,0.0005359429,142.6696777,0.0007128476,112.0651527,0.0002183785,173.2602004
37.6,0.0023114197,0.0005363911,143.4326172,0.000801191,86.60171183,0.0001698896,133.7749522
37.8,0.0023157472,0.0005374741,144.1955566,0.0011783651,77.09419955,0.0002901221,108.7843547
38,0.002319931,0.0005387543,144.9584961,0.0016388515,80.99644592,0.0004589882,111.3447121
38.2,0.0023221991,0.0005396523,145.7214355,0.0020562618,90.39374326,0.0006142225,121.6879863
38.4,0.0023220309,0.0005401252,146.484375,0.0023605782,101.7579922,0.0007307002,134.2513978
38.6,0.0023215335,0.0005402525,147.2473145,0.0025158078,113.2481914,0.0007952175,146.8642574
