Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
0.2,0.0001013862,1.488478719E-05,0.7629394531,0.0004641101,0,0.0001638163,0
0.4,0.0001014162,1.471868218E-05,1.525878906,0.0004837759,16.77757886,0.0001712363,19.66648104
0.6,0.0001018397,1.487429475E-05,2.288818359,0.0005346335,36.06298233,0.0001913913,40.88507702
0.8,0.0001026319,1.507209245E-05,3.051757813,0.0005985477,58.33142557,0.0002189862,63.91205347
1,0.0001031418,1.512342618E-05,3.814697266,0.0006566575,82.70667966,0.000247284,88.11513529
1.2,0.0001031901,0.000015426,4.577636719,0.0006934692,108.1173292,0.0002694103,112.7471162
1.4,0.0001025945,1.556169E-05,5.340576172,0.0006982838,133.6818783,0.0002794651,137.2027425
1.6,0.00010169,0.000015112,6.103515625,0.0006662922,158.670202,0.0002736012,160.9580273
1.8,0.000101097,1.450769661E-05,6.866455078,0.0005993918,-177.654073,0.0002508967,-176.5940714
2,0.0001011249,1.412193566E-05,7.629394531,0.0005062786,-156.2463296,0.0002138603,-156.399595
2.2,0.0001016069,1.416909634E-05,8.392333984,0.0004016805,-138.5695841,0.0001686222,-140.2119341
2.4,0.0001018583,1.396582327E-05,9.155273438,0.0003048281,-126.810494,0.0001251448,-131.2816048
2.6,0.0001018102,1.341114032E-05,9.918212891,0.0002358108,-122.7789554,9.675670298E-05,-132.8777743
2.8,0.0001018868,1.323466807E-05,10.68115234,0.0002040395,-123.6604661,9.104648825E-05,-138.7419373
3,0.0001019379,1.371671128E-05,11.4440918,0.0001958554,-122.7335426,9.638021569E-05,-137.4746404
3.2,0.0001019778,1.394692414E-05,12.20703125,0.0001901017,-118.3685421,9.724411461E-05,-129.8208996
3.4,0.0001016871,1.415119987E-05,12.9699707,0.0001781774,-113.3521679,8.81378119E-05,-121.328121
3.6,0.000100983,0.000014653,13.73291016,0.0001629834,-110.3540546,7.232721278E-05,-118.0838984
3.8,0.0001005026,1.536439333E-05,14.49584961,0.0001502981,-110.2944492,0.000060482,-126.1594188
4,0.0001004244,1.594086957E-05,15.25878906,0.000142892,-113.009237,6.410391481E-05,-139.2462747
4.2,0.0001005458,1.584344375E-05,16.02172852,0.000144005,-118.9612911,7.861444858E-05,-143.107699
4.4,0.000100771,1.587159954E-05,16.78466797,0.0001650312,-126.4600738,9.278972341E-05,-139.883713
4.6,0.0001012276,1.596539837E-05,17.54760742,0.0002169399,-128.6987293,0.0001032718,-135.6691863
4.8,0.000101547,1.58201493E-05,18.31054688,0.0002947095,-122.2743336,0.0001146955,-133.1985801
5,0.0001010568,1.58772339E-05,19.07348633,0.0003824859,-109.2514531,0.0001348791,-130.6999353
5.2,0.0001001704,1.640945907E-05,19.83642578,0.0004627562,-92.32036962,0.000166528,-124.4340795
5.4,9.956814281E-05,1.687856083E-05,20.59936523,0.0005203448,-73.34880131,0.0002045555,-113.2473639
5.6,9.95664626E-05,1.648528936E-05,21.36230469,0.0005449527,-53.62654206,0.0002407138,-98.29870972
5.8,0.000100066,0.000015877,22.12524414,0.0005332074,-34.22197533,0.0002676247,-81.09865222
6,0.0001006255,1.536137942E-05,22.88818359,0.0004898595,-16.24225154,0.0002804942,-62.86307593
6.2,0.0001010057,1.519162606E-05,23.65112305,0.0004277176,-0.9610003087,0.000277766,-44.55663326
6.4,0.0001011455,1.505851885E-05,24.4140625,0.0003654568,10.49684777,0.0002612051,-27.03552212
6.6,0.0001012302,0.000015038,25.17700195,0.0003207141,18.52126315,0.000235444,-11.11350123
6.8,0.0001013099,1.564454451E-05,25.93994141,0.0002976952,26.24224508,0.0002068687,2.570327123
7,0.0001014146,1.625332869E-05,26.70288086,0.0002827243,37.06173039,0.0001816076,14.01532253
7.2,0.0001016209,1.587255632E-05,27.46582031,0.0002577434,51.65942194,0.000162766,24.38025048
7.4,0.0001017456,1.540951765E-05,28.22875977,0.0002133974,68.75075856,0.0001487662,35.56410971
7.6,0.0001017694,1.520482962E-05,28.99169922,0.0001513472,86.1568598,0.0001350986,48.847477
7.8,0.0001020114,1.530356392E-05,29.75463867,0.000081905,98.68062052,0.0001179092,64.27539833
8,0.000102171,1.558642477E-05,30.51757813,2.886932827E-05,69.92585375,9.603268582E-05,81.04873145
8.2,0.0001020679,1.560558251E-05,31.28051758,4.851818317E-05,14.88074042,0.000070951,97.82077611
8.4,0.000101838,1.532883243E-05,32.04345703,6.928587595E-05,22.57438682,4.585312077E-05,112.1483354
8.6,0.0001016004,0.000015211,32.80639648,6.30671916E-05,35.80907719,2.482289652E-05,117.5028321
8.8,0.0001012879,1.489127548E-05,33.56933594,3.512173357E-05,31.96702266,1.33515231E-05,96.62858287
9,0.0001013818,1.450744996E-05,34.33227539,3.940492003E-05,-36.06327299,1.333479192E-05,71.21039074
9.2,0.0001015222,1.474942509E-05,35.09521484,9.157372634E-05,-39.75214555,1.365305321E-05,72.4645769
9.4,0.0001018105,1.513308521E-05,35.8581543,0.0001410856,-24.94765962,1.010277226E-05,80.56986227
9.6,0.0001019246,1.527370753E-05,36.62109375,0.0001733296,-7.972050173,4.535179875E-06,70.58624654
9.8,0.0001019266,1.543262944E-05,37.3840332,0.0001828934,7.340823027,4.740059839E-06,-2.944479362
10,0.0001015539,1.50587381E-05,38.14697266,0.0001733638,18.09722382,8.631537439E-06,-8.056967743
10.2,0.0001009711,0.000014482,38.90991211,0.0001587771,21.50220526,9.574813039E-06,0.1646265181
10.4,0.0001009276,1.441172149E-05,39.67285156,0.0001587391,19.02361167,7.228455526E-06,-1.067559797
10.6,0.000101275,1.476109659E-05,40.43579102,0.000178652,18.75884521,0.000005873,-45.56113522
10.8,0.0001015416,1.452365826E-05,41.19873047,0.0002032331,24.42558036,1.216257308E-05,-72.71705222
11,0.0001015443,0.000013977,41.96166992,0.0002164922,33.38383464,2.109220071E-05,-69.78377793
11.2,0.0001010697,1.379592323E-05,42.72460938,0.0002128005,41.98325196,3.013536263E-05,-61.33094746
11.4,0.0001007693,1.405447525E-05,43.48754883,0.0001979981,46.99851534,3.894079887E-05,-52.28421873
11.6,0.0001007261,1.458131983E-05,44.25048828,0.000186784,46.89813453,4.790337478E-05,-43.19853109
11.8,0.0001007914,1.436581266E-05,45.01342773,0.0001917457,44.75372056,5.716238944E-05,-33.43289329
12,0.0001009741,1.37113197E-05,45.77636719,0.0002092081,45.52693988,6.589979849E-05,-22.5430345
12.2,0.0001011757,1.348628751E-05,46.53930664,0.0002253235,49.64607625,7.252964452E-05,-10.86101324
12.4,0.0001013565,1.34487208E-05,47.30224609,0.0002322873,54.28633709,7.56006071E-05,0.5618640217
12.6,0.000101365,1.388218752E-05,48.06518555,0.0002351057,56.74029957,0.000074901,10.14925557
12.8,0.0001016056,1.490272471E-05,48.828125,0.000248333,57.08224267,7.240229577E-05,16.19462336
13,0.0001019954,1.578529721E-05,49.59106445,0.0002812949,59.09361594,7.226314045E-05,18.39452578
13.2,0.0001021577,0.000015962,50.35400391,0.000325811,65.84084964,0.00007815,19.92584703
